iter	Passed	Remaining
0	0	64
1	1	57
2	1	55
3	2	50
4	2	50
5	3	49
6	3	48
7	4	48
8	4	47
9	5	46
10	5	46
11	6	45
12	6	44
13	7	44
14	7	43
15	8	42
16	8	42
17	9	41
18	9	41
19	10	40
20	10	40
21	11	39
22	11	39
23	12	38
24	12	38
25	13	38
26	14	38
27	14	37
28	15	36
29	15	36
30	16	36
31	16	35
32	17	35
33	17	34
34	18	34
35	19	33
36	19	33
37	20	32
38	20	32
39	21	32
40	21	31
41	22	30
42	22	30
43	23	29
44	24	29
45	24	28
46	25	28
47	25	28
48	26	27
49	27	27
50	27	26
51	28	26
52	28	25
53	29	25
54	29	24
55	30	24
56	31	23
57	31	22
58	32	22
59	32	21
60	33	21
61	34	20
62	34	20
63	35	19
64	36	19
65	36	18
66	37	18
67	37	17
68	38	17
69	39	16
70	39	16
71	40	15
72	41	15
73	42	14
74	42	14
75	43	13
76	44	13
77	44	12
78	45	12
79	46	11
80	46	10
81	47	10
82	47	9
83	48	9
84	49	8
85	49	8
86	50	7
87	50	6
88	51	6
89	52	5
90	52	5
91	53	4
92	53	4
93	54	3
94	55	2
95	55	2
96	56	1
97	57	1
98	57	0
99	58	0
